Subject,Group,Number,Condition,Order,Item,Outcome,Response,Correct,Relation,Score
101,WS,54,Two,BADCE-1,Tree-Two,2--3,yes,correct,truthconditional,1
101,WS,55,Two,BADCE-1,Ball-Two,2--3,yes,correct,truthconditional,1
101,WS,56,Two,BADCE-1,Lock-Two,3--3,no,pragmatic,entailment,0
101,WS,57,Two,BADCE-1,Smile-Two,0--3,no,correct,truthconditional,1
101,WS,58,Two,BADCE-1,Triangle-Two,0--3,no,correct,truthconditional,1
101,WS,59,Two,BADCE-1,Cloud-Two,3--3,no,pragmatic,entailment,0
101,WS,60,Two,BADCE-1,Cross-Two,2--3,yes,correct,truthconditional,1
102,WS,1,Not All,BADCE-2,Cup-Not All,3--3,yes,wrong,truthconditional,0
102,WS,2,Not All,BADCE-2,Cake-Not All,2--3,yes,correct,truthconditional,1
102,WS,3,Not All,BADCE-2,Star-Not All,0--3,yes,semantic,entailment,1
102,WS,4,Not All,BADCE-2,Triangle-Not All,2--3,yes,correct,truthconditional,1
102,WS,5,Not All,BADCE-2,Kite-Not All,3--3,yes,wrong,truthconditional,0
102,WS,6,Not All,BADCE-2,Smile-Not All,3--3,yes,wrong,truthconditional,0
102,WS,7,Not All,BADCE-2,Heart-Not All,0--3,yes,semantic,entailment,1
102,WS,8,Not All,BADCE-2,Flower-Not All,2--3,yes,correct,truthconditional,1
102,WS,9,Not All,BADCE-2,Ball-Not All,0--3,yes,semantic,entailment,1
102,WS,10,Not All,BADCE-2,Icecream-Not All,3--3,yes,wrong,truthconditional,0
102,WS,11,Not All,BADCE-2,Phone-Not All,0--3,yes,semantic,entailment,1
102,WS,12,Not All,BADCE-2,Doughnut-Not All,2--3,yes,correct,truthconditional,1
102,WS,13,All,BADCE-2,Square-All,2--3,no,correct,truthconditional,1
102,WS,14,All,BADCE-2,Flower-All,3--3,yes,correct,truthconditional,1
102,WS,15,All,BADCE-2,Flag-All,0--3,no,correct,truthconditional,1
102,WS,16,All,BADCE-2,Puzzle-All,0--3,no,correct,truthconditional,1
102,WS,17,All,BADCE-2,Tree-All,3--3,yes,correct,truthconditional,1
102,WS,18,All,BADCE-2,Circle-All,2--3,no,correct,truthconditional,1
102,WS,19,All,BADCE-2,Camera-All,0--3,no,correct,truthconditional,1
102,WS,20,All,BADCE-2,Cloud-All,2--3,no,correct,truthconditional,1
102,WS,21,All,BADCE-2,Heart-All,2--3,no,correct,truthconditional,1
102,WS,22,All,BADCE-2,Lightbulb-Or,0--3,no,correct,truthconditional,1
102,WS,23,All,BADCE-2,Key-All,3--3,yes,correct,truthconditional,1
102,WS,24,All,BADCE-2,Boat-All,3--3,yes,correct,truthconditional,1
102,WS,25,Some,BADCE-2,Puzzle-Some,2--3,yes,correct,truthconditional,1
102,WS,26,Some,BADCE-2,Camera-Some,3--3,yes,semantic,entailment,1
102,WS,27,Some,BADCE-2,Balloon-Some,0--3,no,correct,truthconditional,1
102,WS,28,Some,BADCE-2,Circle-Some,2--3,yes,correct,truthconditional,1
102,WS,29,Some,BADCE-2,Star-Some,3--3,no,pragmatic,entailment,0
102,WS,30,Some,BADCE-2,Square-Some,0--3,no,correct,truthconditional,1
102,WS,31,Some,BADCE-2,House-Some,0--3,no,correct,truthconditional,1
102,WS,32,Some,BADCE-2,Lock-Some,2--3,yes,correct,truthconditional,1
102,WS,33,Some,BADCE-2,Sun-Some,3--3,yes,semantic,entailment,1
102,WS,34,Some,BADCE-2,Moon-Some,3--3,yes,semantic,entailment,1
102,WS,35,Some,BADCE-2,Tree-Some,2--3,yes,correct,truthconditional,1
102,WS,36,Some,BADCE-2,Flower-Some,0--3,no,correct,truthconditional,1
102,WS,37,Or,BADCE-2,Smile-heart-Or,Both,yes,semantic,entailment,1
102,WS,38,Or,BADCE-2,Boat-Or,Either,yes,correct,truthconditional,1
102,WS,39,Or,BADCE-2,Triangle-circle-Or,Neither,no,correct,truthconditional,1
102,WS,40,Or,BADCE-2,Arrow-tree-Or,Both,yes,semantic,entailment,1
102,WS,41,Or,BADCE-2,Ring-Or,Either,no,wrong,truthconditional,0
102,WS,42,Or,BADCE-2,Lightbulb-Or,Either,no,wrong,truthconditional,0
102,WS,43,Or,BADCE-2,Cup-cake-Or,Neither,no,correct,truthconditional,1
102,WS,44,Or,BADCE-2,Phone-cross-Or,Both,yes,semantic,entailment,1
102,WS,45,Or,BADCE-2,Flowerpot-house-Or,Neither,no,correct,truthconditional,1
102,WS,46,Or,BADCE-2,Key-doughnut-Or,Both,yes,semantic,entailment,1
102,WS,47,Or,BADCE-2,Smile-Or,Neither,no,correct,truthconditional,1
102,WS,48,Or,BADCE-2,Smile-heart-Or,Either,yes,correct,truthconditional,1
102,WS,49,Two,BADCE-2,Flowerpot-Two,3--3,no,pragmatic,entailment,0
102,WS,50,Two,BADCE-2,Cloud-Two,3--3,no,pragmatic,entailment,0
102,WS,51,Two,BADCE-2,Smile-Two,0--3,no,correct,truthconditional,1
102,WS,52,Two,BADCE-2,Cross-Two,2--3,yes,correct,truthconditional,1
102,WS,53,Two,BADCE-2,Tree-Two,2--3,yes,correct,truthconditional,1
102,WS,54,Two,BADCE-2,Balloon-Two,2--3,yes,correct,truthconditional,1
102,WS,55,Two,BADCE-2,Arrow-Two,0--3,no,correct,truthconditional,1
102,WS,56,Two,BADCE-2,Ring-Two,0--3,no,correct,truthconditional,1
102,WS,57,Two,BADCE-2,Lock-Two,3--3,no,pragmatic,entailment,0
102,WS,58,Two,BADCE-2,Flag-Two,3--3,no,pragmatic,entailment,0
102,WS,59,Two,BADCE-2,Triangle-Two,0--3,no,correct,truthconditional,1
102,WS,60,Two,BADCE-2,Ball-Two,2--3,yes,correct,truthconditional,1
103,WS,1,Some,DAEBC-1,Camera-Some,3--3,yes,semantic,entailment,1
103,WS,2,Some,DAEBC-1,Moon-Some,3--3,yes,semantic,entailment,1
103,WS,3,Some,DAEBC-1,Sun-Some,3--3,yes,semantic,entailment,1
103,WS,4,Some,DAEBC-1,Puzzle-Some,2--3,no,wrong,truthconditional,0
103,WS,5,Some,DAEBC-1,Square-Some,0--3,no,correct,truthconditional,1
103,WS,6,Some,DAEBC-1,House-Some,0--3,no,correct,truthconditional,1
103,WS,7,Some,DAEBC-1,Balloon-Some,0--3,no,correct,truthconditional,1
103,WS,8,Some,DAEBC-1,Flower-Some,0--3,no,correct,truthconditional,1
103,WS,9,Some,DAEBC-1,Lock-Some,2--3,yes,correct,truthconditional,1
103,WS,10,Some,DAEBC-1,Star-Some,3--3,yes,semantic,entailment,1
103,WS,11,Some,DAEBC-1,Circle-Some,2--3,yes,correct,truthconditional,1
103,WS,12,Some,DAEBC-1,Tree-Some,2--3,yes,correct,truthconditional,1
103,WS,13,All,DAEBC-1,Cloud-All,2--3,yes,wrong,truthconditional,0
103,WS,14,All,DAEBC-1,Boat-All,3--3,yes,correct,truthconditional,1
103,WS,15,All,DAEBC-1,Bulb-All,0--3,no,correct,truthconditional,1
103,WS,16,All,DAEBC-1,Heart-All,2--3,yes,wrong,truthconditional,0
103,WS,17,All,DAEBC-1,Circle-All,2--3,yes,wrong,truthconditional,0
103,WS,18,All,DAEBC-1,Key-All,3--3,yes,correct,truthconditional,1
103,WS,19,All,DAEBC-1,Puzzle-All,0--3,no,correct,truthconditional,1
103,WS,20,All,DAEBC-1,Camera-All,0--3,no,correct,truthconditional,1
103,WS,21,All,DAEBC-1,Flag-All,0--3,no,correct,truthconditional,1
103,WS,22,All,DAEBC-1,Square-All,2--3,yes,wrong,truthconditional,0
103,WS,23,All,DAEBC-1,Tree-All,3--3,yes,correct,truthconditional,1
103,WS,24,All,DAEBC-1,Flower-All,3--3,yes,correct,truthconditional,1
103,WS,25,Two,DAEBC-1,Ring-Two,0--3,no,correct,truthconditional,1
103,WS,26,Two,DAEBC-1,Flowerpot-Two,3--3,yes,semantic,entailment,1
103,WS,27,Two,DAEBC-1,Arrow-Two,0--3,no,correct,truthconditional,1
103,WS,28,Two,DAEBC-1,Flag-Two,3--3,yes,semantic,entailment,1
103,WS,29,Two,DAEBC-1,Balloon-Two,2--3,yes,correct,truthconditional,1
103,WS,30,Two,DAEBC-1,Tree-Two,2--3,yes,correct,truthconditional,1
103,WS,31,Two,DAEBC-1,Ball-Two,2--3,yes,correct,truthconditional,1
103,WS,32,Two,DAEBC-1,Lock-Two,3--3,yes,semantic,entailment,1
103,WS,33,Two,DAEBC-1,Smile-Two,0--3,no,correct,truthconditional,1
103,WS,34,Two,DAEBC-1,Triangle-Two,0--3,no,correct,truthconditional,1
103,WS,35,Two,DAEBC-1,Cloud-Two,3--3,yes,semantic,entailment,1
103,WS,36,Two,DAEBC-1,Cross-Two,2--3,yes,correct,truthconditional,1
103,WS,37,Not All,DAEBC-1,Flower-Not All,2--3,yes,correct,truthconditional,1
103,WS,38,Not All,DAEBC-1,Heart-Not All,0--3,no,pragmatic,entailment,0
103,WS,39,Not All,DAEBC-1,Phone-Not All,0--3,no,pragmatic,entailment,0
103,WS,40,Not All,DAEBC-1,Triangle-Not All,2--3,yes,correct,truthconditional,1
103,WS,41,Not All,DAEBC-1,Doughnut-Not All,2--3,yes,correct,truthconditional,1
103,WS,42,Not All,DAEBC-1,Kite-Not All,3--3,yes,wrong,truthconditional,0
103,WS,43,Not All,DAEBC-1,Star-Not All,0--3,no,pragmatic,entailment,0
103,WS,44,Not All,DAEBC-1,Ball-Not All,0--3,no,pragmatic,entailment,0
103,WS,45,Not All,DAEBC-1,Cup-Not All,3--3,yes,wrong,truthconditional,0
103,WS,46,Not All,DAEBC-1,Icecream-Not All,3--3,yes,wrong,truthconditional,0
103,WS,47,Not All,DAEBC-1,Cake-Not All,2--3,yes,correct,truthconditional,1
103,WS,48,Not All,DAEBC-1,Smile-Not All,3--3,yes,wrong,truthconditional,0
103,WS,49,Or,DAEBC-1,Triangle-circle-Or,Neither,yes,wrong,truthconditional,0
103,WS,50,Or,DAEBC-1,Lightbulb-Or,Either,yes,correct,truthconditional,1
103,WS,51,Or,DAEBC-1,Boat-Or,Either,yes,correct,truthconditional,1
103,WS,52,Or,DAEBC-1,Cup-cake-Or,Neither,no,correct,truthconditional,1
103,WS,53,Or,DAEBC-1,Flowerpot-house-Or,Both,yes,semantic,entailment,1
103,WS,54,Or,DAEBC-1,Smile-Or,Either,yes,correct,truthconditional,1
103,WS,55,Or,DAEBC-1,Smile-heart-Or,Both,yes,semantic,entailment,1
103,WS,56,Or,DAEBC-1,Key-doughnut-Or,Neither,no,correct,truthconditional,1
103,WS,57,Or,DAEBC-1,Arrow-tree-Or,Both,yes,semantic,entailment,1
103,WS,58,Or,DAEBC-1,Ring-Or,Either,yes,correct,truthconditional,1
103,WS,59,Or,DAEBC-1,Phone-cross-Or,Both,yes,semantic,entailment,1
103,WS,60,Or,DAEBC-1,Icecream-sun-Or,Neither,no,correct,truthconditional,1
104,WS,1,Some,DAEBC-2,Puzzle-Some,2--3,yes,correct,truthconditional,1
104,WS,2,Some,DAEBC-2,Camera-Some,3--3,yes,semantic,entailment,1
104,WS,3,Some,DAEBC-2,Balloon-Some,0--3,no,correct,truthconditional,1
104,WS,4,Some,DAEBC-2,Circle-Some,2--3,yes,correct,truthconditional,1
104,WS,5,Some,DAEBC-2,Star-Some,3--3,yes,semantic,entailment,1
104,WS,6,Some,DAEBC-2,Square-Some,0--3,no,correct,truthconditional,1
104,WS,7,Some,DAEBC-2,House-Some,0--3,no,correct,truthconditional,1
104,WS,8,Some,DAEBC-2,Lock-Some,2--3,yes,correct,truthconditional,1
104,WS,9,Some,DAEBC-2,Sun-Some,3--3,yes,semantic,entailment,1
104,WS,10,Some,DAEBC-2,Moon-Some,3--3,yes,semantic,entailment,1
104,WS,11,Some,DAEBC-2,Tree-Some,2--3,yes,correct,truthconditional,1
104,WS,12,Some,DAEBC-2,Flower-Some,0--3,no,correct,truthconditional,1
104,WS,13,All,DAEBC-2,Square-All,2--3,no,correct,truthconditional,1
104,WS,14,All,DAEBC-2,Flower-All,3--3,yes,correct,truthconditional,1
104,WS,15,All,DAEBC-2,Flag-All,0--3,no,correct,truthconditional,1
104,WS,16,All,DAEBC-2,Puzzle-All,0--3,no,correct,truthconditional,1
104,WS,17,All,DAEBC-2,Tree-All,3--3,yes,correct,truthconditional,1
104,WS,18,All,DAEBC-2,Circle-All,2--3,no,correct,truthconditional,1
104,WS,19,All,DAEBC-2,Camera-All,0--3,no,correct,truthconditional,1
104,WS,20,All,DAEBC-2,Cloud-All,2--3,no,correct,truthconditional,1
104,WS,21,All,DAEBC-2,Heart-All,2--3,no,correct,truthconditional,1
104,WS,22,All,DAEBC-2,Lightbulb-Or,0--3,no,correct,truthconditional,1
104,WS,23,All,DAEBC-2,Key-All,3--3,yes,correct,truthconditional,1
104,WS,24,All,DAEBC-2,Boat-All,3--3,yes,correct,truthconditional,1
104,WS,25,Two,DAEBC-2,Flowerpot-Two,3--3,yes,semantic,entailment,1
104,WS,26,Two,DAEBC-2,Cloud-Two,3--3,no,pragmatic,entailment,0
104,WS,27,Two,DAEBC-2,Smile-Two,0--3,no,correct,truthconditional,1
104,WS,28,Two,DAEBC-2,Cross-Two,2--3,yes,correct,truthconditional,1
104,WS,29,Two,DAEBC-2,Tree-Two,2--3,yes,correct,truthconditional,1
104,WS,30,Two,DAEBC-2,Balloon-Two,2--3,yes,correct,truthconditional,1
104,WS,31,Two,DAEBC-2,Arrow-Two,0--3,no,correct,truthconditional,1
104,WS,32,Two,DAEBC-2,Ring-Two,0--3,no,correct,truthconditional,1
104,WS,33,Two,DAEBC-2,Lock-Two,3--3,no,pragmatic,entailment,0
104,WS,34,Two,DAEBC-2,Flag-Two,3--3,no,pragmatic,entailment,0
104,WS,35,Two,DAEBC-2,Triangle-Two,0--3,no,correct,truthconditional,1
104,WS,36,Two,DAEBC-2,Ball-Two,2--3,yes,correct,truthconditional,1
104,WS,37,Not All,DAEBC-2,Cup-Not All,3--3,no,correct,truthconditional,1
104,WS,38,Not All,DAEBC-2,Cake-Not All,2--3,yes,correct,truthconditional,1
104,WS,39,Not All,DAEBC-2,Star-Not All,0--3,no,pragmatic,entailment,0
104,WS,40,Not All,DAEBC-2,Triangle-Not All,2--3,yes,correct,truthconditional,1
104,WS,41,Not All,DAEBC-2,Kite-Not All,3--3,no,correct,truthconditional,1
104,WS,42,Not All,DAEBC-2,Smile-Not All,3--3,no,correct,truthconditional,1
104,WS,43,Not All,DAEBC-2,Heart-Not All,0--3,no,pragmatic,entailment,0
104,WS,44,Not All,DAEBC-2,Flower-Not All,2--3,yes,correct,truthconditional,1
104,WS,45,Not All,DAEBC-2,Ball-Not All,0--3,no,pragmatic,entailment,0
104,WS,46,Not All,DAEBC-2,Icecream-Not All,3--3,no,correct,truthconditional,1
104,WS,47,Not All,DAEBC-2,Phone-Not All,0--3,no,pragmatic,entailment,0
104,WS,48,Not All,DAEBC-2,Doughnut-Not All,2--3,yes,correct,truthconditional,1
104,WS,49,Or,DAEBC-2,Smile-heart-Or,Both,yes,semantic,entailment,1
104,WS,50,Or,DAEBC-2,Boat-Or,Either,yes,correct,truthconditional,1
104,WS,51,Or,DAEBC-2,Triangle-circle-Or,Neither,no,correct,truthconditional,1
104,WS,52,Or,DAEBC-2,Arrow-tree-Or,Both,yes,semantic,entailment,1
104,WS,53,Or,DAEBC-2,Ring-Or,Either,yes,correct,truthconditional,1
104,WS,54,Or,DAEBC-2,Lightbulb-Or,Either,yes,correct,truthconditional,1
104,WS,55,Or,DAEBC-2,Cup-cake-Or,Neither,no,correct,truthconditional,1
104,WS,56,Or,DAEBC-2,Phone-cross-Or,Both,yes,semantic,entailment,1
104,WS,57,Or,DAEBC-2,Icecream-sun-Or,Neither,no,correct,truthconditional,1
104,WS,58,Or,DAEBC-2,Flowerpot-house-Or,Both,yes,semantic,entailment,1
104,WS,59,Or,DAEBC-2,Key-doughnut-Or,Neither,no,correct,truthconditional,1
104,WS,60,Or,DAEBC-2,Smile-Or,Either,yes,correct,truthconditional,1
105,WS,1,Some,DAEBC-1,Camera-Some,3--3,yes,semantic,entailment,1
105,WS,2,Some,DAEBC-1,Moon-Some,3--3,yes,semantic,entailment,1
105,WS,3,Some,DAEBC-1,Sun-Some,3--3,yes,semantic,entailment,1
105,WS,4,Some,DAEBC-1,Puzzle-Some,2--3,no,wrong,truthconditional,0
105,WS,5,Some,DAEBC-1,Square-Some,0--3,no,correct,truthconditional,1
105,WS,6,Some,DAEBC-1,House-Some,0--3,no,correct,truthconditional,1
105,WS,7,Some,DAEBC-1,Balloon-Some,0--3,no,correct,truthconditional,1
105,WS,8,Some,DAEBC-1,Flower-Some,0--3,no,correct,truthconditional,1
105,WS,9,Some,DAEBC-1,Lock-Some,2--3,yes,correct,truthconditional,1
105,WS,10,Some,DAEBC-1,Star-Some,3--3,yes,semantic,entailment,1
105,WS,11,Some,DAEBC-1,Circle-Some,2--3,yes,correct,truthconditional,1
105,WS,12,Some,DAEBC-1,Tree-Some,2--3,yes,correct,truthconditional,1
105,WS,13,All,DAEBC-1,Cloud-All,2--3,yes,wrong,truthconditional,0
105,WS,14,All,DAEBC-1,Boat-All,3--3,yes,correct,truthconditional,1
105,WS,15,All,DAEBC-1,Bulb-All,0--3,no,correct,truthconditional,1
105,WS,16,All,DAEBC-1,Heart-All,2--3,yes,wrong,truthconditional,0
105,WS,17,All,DAEBC-1,Circle-All,2--3,no,correct,truthconditional,1
105,WS,18,All,DAEBC-1,Key-All,3--3,yes,correct,truthconditional,1
105,WS,19,All,DAEBC-1,Puzzle-All,0--3,no,correct,truthconditional,1
105,WS,20,All,DAEBC-1,Camera-All,0--3,no,correct,truthconditional,1
105,WS,21,All,DAEBC-1,Flag-All,0--3,no,correct,truthconditional,1
105,WS,22,All,DAEBC-1,Square-All,2--3,no,correct,truthconditional,1
105,WS,23,All,DAEBC-1,Tree-All,3--3,yes,correct,truthconditional,1
105,WS,24,All,DAEBC-1,Flower-All,3--3,yes,correct,truthconditional,1
105,WS,25,Two,DAEBC-1,Ring-Two,0--3,no,correct,truthconditional,1
105,WS,26,Two,DAEBC-1,Flowerpot-Two,3--3,no,pragmatic,entailment,0
105,WS,27,Two,DAEBC-1,Arrow-Two,0--3,no,correct,truthconditional,1
105,WS,28,Two,DAEBC-1,Flag-Two,3--3,no,pragmatic,entailment,0
105,WS,29,Two,DAEBC-1,Balloon-Two,2--3,yes,correct,truthconditional,1
105,WS,30,Two,DAEBC-1,Tree-Two,2--3,yes,correct,truthconditional,1
105,WS,31,Two,DAEBC-1,Ball-Two,2--3,yes,correct,truthconditional,1
105,WS,32,Two,DAEBC-1,Lock-Two,3--3,no,pragmatic,entailment,0
105,WS,33,Two,DAEBC-1,Smile-Two,0--3,no,correct,truthconditional,1
105,WS,34,Two,DAEBC-1,Triangle-Two,0--3,no,correct,truthconditional,1
105,WS,35,Two,DAEBC-1,Cloud-Two,3--3,no,pragmatic,entailment,0
105,WS,36,Two,DAEBC-1,Cross-Two,2--3,yes,correct,truthconditional,1
105,WS,37,Not All,DAEBC-1,Flower-Not All,2--3,no,wrong,truthconditional,0
105,WS,39,Not All,DAEBC-1,Phone-Not All,0--3,yes,semantic,entailment,1
105,WS,40,Not All,DAEBC-1,Triangle-Not All,2--3,no,wrong,truthconditional,0
105,WS,41,Not All,DAEBC-1,Doughnut-Not All,2--3,no,wrong,truthconditional,0
105,WS,42,Not All,DAEBC-1,Kite-Not All,3--3,no,correct,truthconditional,1
105,WS,43,Not All,DAEBC-1,Star-Not All,0--3,no,pragmatic,entailment,0
105,WS,44,Not All,DAEBC-1,Ball-Not All,0--3,no,pragmatic,entailment,0
105,WS,45,Not All,DAEBC-1,Cup-Not All,3--3,no,correct,truthconditional,1
105,WS,46,Not All,DAEBC-1,Icecream-Not All,3--3,no,correct,truthconditional,1
105,WS,47,Not All,DAEBC-1,Cake-Not All,2--3,no,wrong,truthconditional,0
105,WS,48,Not All,DAEBC-1,Smile-Not All,3--3,no,correct,truthconditional,1
105,WS,49,Or,DAEBC-1,Triangle-circle-Or,Neither,no,correct,truthconditional,1
105,WS,50,Or,DAEBC-1,Lightbulb-Or,Either,yes,correct,truthconditional,1
105,WS,51,Or,DAEBC-1,Boat-Or,Either,yes,correct,truthconditional,1
105,WS,52,Or,DAEBC-1,Cup-cake-Or,Neither,no,correct,truthconditional,1
105,WS,53,Or,DAEBC-1,Flowerpot-house-Or,Both,yes,semantic,entailment,1
105,WS,54,Or,DAEBC-1,Smile-Or,Either,yes,correct,truthconditional,1
105,WS,55,Or,DAEBC-1,Smile-heart-Or,Both,yes,semantic,entailment,1
105,WS,56,Or,DAEBC-1,Key-doughnut-Or,Neither,no,correct,truthconditional,1
105,WS,57,Or,DAEBC-1,Arrow-tree-Or,Both,yes,semantic,entailment,1
105,WS,58,Or,DAEBC-1,Ring-Or,Either,yes,correct,truthconditional,1
105,WS,59,Or,DAEBC-1,Phone-cross-Or,Both,yes,semantic,entailment,1
105,WS,60,Or,DAEBC-1,Icecream-sun-Or,Neither,no,correct,truthconditional,1
106,WS,1,Some,DAEBC-2,Puzzle-Some,2--3,yes,correct,truthconditional,1
106,WS,2,Some,DAEBC-2,Camera-Some,3--3,yes,semantic,entailment,1
106,WS,3,Some,DAEBC-2,Balloon-Some,0--3,no,correct,truthconditional,1
106,WS,4,Some,DAEBC-2,Circle-Some,2--3,yes,correct,truthconditional,1
106,WS,5,Some,DAEBC-2,Star-Some,3--3,yes,semantic,entailment,1
106,WS,6,Some,DAEBC-2,Square-Some,0--3,no,correct,truthconditional,1
106,WS,7,Some,DAEBC-2,House-Some,0--3,no,correct,truthconditional,1
106,WS,8,Some,DAEBC-2,Lock-Some,2--3,yes,correct,truthconditional,1
106,WS,9,Some,DAEBC-2,Sun-Some,3--3,yes,semantic,entailment,1
106,WS,10,Some,DAEBC-2,Moon-Some,3--3,yes,semantic,entailment,1
106,WS,11,Some,DAEBC-2,Tree-Some,2--3,yes,correct,truthconditional,1
106,WS,12,Some,DAEBC-2,Flower-Some,0--3,no,correct,truthconditional,1
106,WS,13,All,DAEBC-2,Square-All,2--3,no,correct,truthconditional,1
106,WS,14,All,DAEBC-2,Flower-All,3--3,yes,correct,truthconditional,1
106,WS,15,All,DAEBC-2,Flag-All,0--3,no,correct,truthconditional,1
106,WS,16,All,DAEBC-2,Puzzle-All,0--3,no,correct,truthconditional,1
106,WS,17,All,DAEBC-2,Tree-All,3--3,yes,correct,truthconditional,1
106,WS,18,All,DAEBC-2,Circle-All,2--3,no,correct,truthconditional,1
106,WS,19,All,DAEBC-2,Camera-All,0--3,no,correct,truthconditional,1
106,WS,20,All,DAEBC-2,Cloud-All,2--3,no,correct,truthconditional,1
106,WS,21,All,DAEBC-2,Heart-All,2--3,no,correct,truthconditional,1
106,WS,22,All,DAEBC-2,Lightbulb-Or,0--3,no,correct,truthconditional,1
106,WS,23,All,DAEBC-2,Key-All,3--3,yes,correct,truthconditional,1
106,WS,24,All,DAEBC-2,Boat-All,3--3,yes,correct,truthconditional,1
106,WS,25,Two,DAEBC-2,Flowerpot-Two,3--3,no,pragmatic,entailment,0
106,WS,26,Two,DAEBC-2,Cloud-Two,3--3,no,pragmatic,entailment,0
106,WS,27,Two,DAEBC-2,Smile-Two,0--3,no,correct,truthconditional,1
